Country	ISO3	link
Albania	ALB	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Albania%22
Algeria	DZA	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Algeria%22
Argentina	ARG	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Argentina%22
Aruba	ABW	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Aruba%22
Australia	AUS	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Australia%22
Austria	AUT	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Austria%22
Azerbaijan	AZE	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Azerbaijan%22
Bahamas	BHS	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Bahamas%22
Bahrain	BHR	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Bahrain%22
Barbados	BRB	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Barbados%22
Belgium	BEL	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Belgium%22
Bermuda	BMU	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Bermuda%22
Botswana	BWA	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Botswana%22
Brazil	BRA	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Brazil%22
Brunei	BRN	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Brunei%20Darussalam%22
Bulgaria	BGR	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Bulgaria%22
Burkina Faso	BFA	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Burkina%20Faso%22
Cameroon	CMR	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Cameroon%22
Canada	CAN	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Canada%22
Cayman Islands	CYM	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Cayman%20Islands%22
Chile	CHL	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Chile%22
People's Republic of China	CHN	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22China%20(People%E2%80%99s%20Republic%20of)%22
Colombia	COL	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Colombia%22
Democratic Republic of the Congo	COD	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Democratic%20Republic%20of%20the%20Congo%22
Costa Rica	CRI	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Costa%20Rica%22
Croatia	HRV	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Croatia%22
Czech Republic	CZE	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Czech%20Republic%22
Denmark	DNK	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Denmark%22
Dominica	DMA	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Dominica%22
Dominican Republic	DOM	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Dominican%20Republic%22
El Salvador	SLV	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22El%20Salvador%22
Estonia	EST	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Estonia%22
Finland	FIN	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Finland%22
France	FRA	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22France%22
Gabon	GAB	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Gabon%22
Georgia	GEO	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Georgia%22
Germany	DEU	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Germany%22
Ghana	GHA	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Ghana%22
Greece	GRC	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Greece%22
Guernsey	GGY	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Guernsey%22
Hungary	HUN	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Hungary%22
Iceland	ISL	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Iceland%22
India	IND	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22India%22
Indonesia	IDN	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Indonesia%22
Ireland	IRL	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Ireland%22
Isle of Man	IMN	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Isle%20of%20Man%22
Israel	ISR	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Israel%22
Italy	ITA	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Italy%22
Jamaica	JAM	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Jamaica%22
Japan	JPN	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Japan%22
Jersey	JEY	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Jersey%22
Kazakhstan	KAZ	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Kazakhstan%22
Kenya	KEN	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Kenya%22
Latvia	LVA	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Latvia%22
Lesotho	LSO	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Lesotho%22
Liberia	LBR	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Liberia%22
Liechtenstein	LIE	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Liechtenstein%22
Lithuania	LTU	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Lithuania%22
Luxembourg	LUX	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Luxembourg%22
Macedonia	MKD	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Republic%20of%20North%20Macedonia%22
Malaysia	MYS	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Malaysia%22
Mauritania	MRT	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Mauritania%22
Mauritius	MUS	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Mauritius%22
Mexico	MEX	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Mexico%22
Monaco	MCO	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Monaco%22
Morocco	MAR	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Morocco%22
Netherlands	NLD	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Netherlands%22
New Zealand	NZL	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22New%20Zealand%22
Nigeria	NGA	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Nigeria%22
Norway	NOR	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Norway%22
Pakistan	PAK	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Pakistan%22
Panama	PAN	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Panama%22
Paraguay	PRY	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Paraguay%22
Peru	PER	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Peru%22
